cq_id,domain,clause,excerpt,question,cco_elements,dup_of,dup_score
CQ116,Education,67,"The provider must check that the apprenticeship agreement between the employer and the apprentice is complete... and that the agreement has been signed by both parties...""",What obligation requires the provider to check that the apprenticeship agreement is signed by both parties?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ117,Education,67.2,"The provider must check that there is a separate, identifiable line manager who is undertaking the role of the ‘employer’.""","What obligation requires the provider to verify the presence of a separate, identifiable line manager acting as the employer?","cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ118,Education,68.1,"The apprentice’s details (name, place of work)""",What obligation requires the apprenticeship agreement to include the apprentice’s name and place of work?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ119,Education,68.2,"The apprenticeship standard and level""",What obligation requires the apprenticeship agreement to specify the apprenticeship standard and level?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ120,Education,68.3,"The start and end date of the apprenticeship (these dates include the end-point assessment)""",What obligation requires the apprenticeship agreement to include the start and end date of the apprenticeship?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ121,Education,68.5,"The duration of the practical period (see paragraphs 73 to 76 regarding minimum duration)""",What obligation requires the apprenticeship agreement to include the duration of the practical period?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ122,Education,68.6,"The amount of time the apprentice will spend in off-the-job training (see paragraph 80)""",What obligation requires the apprenticeship agreement to specify the amount of time for off-the-job training?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ123,Education,69,"If an apprentice is not directly employed by an employer, the provider must verify that the individual can be funded through an alternative English apprenticeship.""",What obligation requires the provider to verify eligibility for an alternative English apprenticeship?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ124,Education,Evidence requirements (after 69),"The provider has a signed copy of a complete (and therefore valid) apprenticeship agreement...""",What obligation requires the provider to have a signed copy of a complete apprenticeship agreement for alternative English apprenticeships?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ125,Education,72,"The provider must confirm with the employer that the apprentice is being paid a lawful wage whilst they are on the apprenticeship.""",What obligation requires the provider to confirm that the apprentice is being paid a lawful wage during the apprenticeship?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ126,Education,72.1,"Apprentices aged 19 or over who have completed the first year of their apprenticeship must thereafter receive at least the correct national minimum wage for their age.""",What obligation requires the provider to confirm that the apprentice receives at least the correct national minimum wage after the first year if aged 19 or over?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ127,Education,72.3,"For prisoner apprenticeships in the closed estate, the wage must be compliant with the HMPPS policy (see paragraph 265).""",What obligation requires the provider to confirm that the apprentice’s wage complies with HMPPS policy in the closed estate?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ128,Education,73,"The provider must confirm that... the apprenticeship practical period lasts for a minimum duration of 8 months.""",What obligation requires the provider to confirm that the practical period lasts at least 8 months after relevant prior learning is accounted for?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ129,Education,74.1,"Is made redundant with more than six, but less than eight months remaining before their final day""",What condition permits an episode of apprenticeship learning to fall below the minimum duration requirement due to redundancy?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ130,Education,74.3,"Transfers between providers but remains on the same apprenticeship standard""",What condition permits an episode of apprenticeship learning to fall below the minimum duration when transferring between providers?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ131,Education,75,"The provider must consider the apprentice’s working hours when setting a duration for these learners, so that training expectations are realistic.""",What obligation requires the provider to consider working hours when setting the duration for part-time apprentices?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ132,Education,75.1,"The provider must agree, with the employer, that the expected duration of the apprenticeship for a part-time apprentice is realistic.""",What obligation requires the provider to agree with the employer on a realistic duration for a part-time apprentice?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ133,Education,65.2,"The apprentice must be included in the PAYE scheme declared in the apprenticeship service account.""",What regulation specifies the obligation that the apprentice must be included in the declared PAYE scheme?,"cco:Obligation, cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ134,Education,66.4,"The agreement must be extended if the programme is extended.""",What regulation specifies the obligation that the apprenticeship agreement must be extended if the programme is extended?,"cco:Obligation, cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",CQ114,0.81
CQ135,Education,67.1,"It is prohibited for someone to sign a contract, including an apprenticeship agreement, as both the apprentice and as the employer...""",What regulation specifies the prohibition on one person signing as both employer and apprentice?,"cco:Prohibition, cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ136,Education,77,"The provider must verify that the off-the-job training delivered to the apprentice meets the following definition""",Which obligation applies to providers regarding the delivery of off-the-job training for apprentices?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ137,Education,77.1,"It is training which is received by the apprentice within their practical period, during the apprentice’s normal working hours""",What action is required of providers in ensuring off-the-job training occurs during normal working hours?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ138,Education,79.2,"English and maths standalone qualifications (where required, these must be delivered in addition to the minimum off-the-job training requirement)""",Which obligation prohibits the inclusion of standalone English and maths qualifications in off-the-job training?,"cco:Prohibition, cco:hasAction, cco:hasObject",,
CQ139,Education,84,"The provider must document the number of planned off-the-job training hours, for the full apprenticeship, on the apprenticeship agreement, the training plan and the individualised learner record (ILR)""",What obligation do providers have regarding the documentation of planned off-the-job training hours?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ140,Education,81.2,"No programme must fall below 187 hours of evidenced delivery or 8 months in actual duration""","What minimum duration must an apprenticeship programme meet, even if reduced due to prior learning?","cco:Obligation, cco:appliesUnder",,
CQ141,Education,81,"This figure can only be reduced if there is evidence of relevant prior learning""",Under what condition can the published minimum off-the-job training hours be reduced for an apprentice?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ142,Education,80,"Providers will no longer need to calculate the minimum off-the-job training hours for each apprentice""",Which regulation specifies the norm that removes the need to calculate minimum off-the-job training hours per apprentice?,"cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ143,Education,87,"The provider must agree this delivery model with the employer and this must be documented in the signed training plan""",What obligation applies to providers when delivering training via a front-loaded or block release model?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ144,Education,88,"The provider is responsible for ensuring that there is a plan for off-the-job training active learning to take place at least every 3 calendar months""",How frequently must off-the-job training active learning occur during the practical period?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ145,Education,88.1,"A break in learning must be used where there is no plan for OTJT active learning to take place within a 3-calendar month period""",What action must a provider take if no off-the-job training active learning is planned within a 3-calendar month period?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ146,Education,77.2,"It is not on-the-job training, which is training received by the apprentice for the sole purpose of enabling the apprentice to perform the work for which they have been employed""",Which norm governs the requirement that off-the-job training must not include on-the-job training?,"cco:Prohibition, cco:hasAction, cco:hasObject",,
CQ147,Education,86.3,"The learning end date must only be recorded when the last piece of learning has been delivered""",What obligation ensures that the learning end date is recorded only after the last piece of training has been delivered?,"cco:Obligation, cco:hasAction",,
CQ148,Education,82.3,"There will no longer be a distinction between a full-time and a part-time apprentice in relation to off-the-job training delivery""",Which regulation introduces the policy change that removes the distinction between full-time and part-time apprentices for off-the-job training delivery?,"cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ149,Education,86,"The provider is ultimately responsible for the delivery of all required off-the-job training... even if another party (e.g. subcontractor, employer) delivers this training""",What obligation applies to providers regarding the delivery of training by subcontractors or employers?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ150,Education,81.4,"Funds are at risk of recovery if the off-the-job training minimum requirement is not met""",Which norm specifies that funds are at risk of recovery if the minimum off-the-job training requirement is not met?,"cco:Obligation, cco:appliesUnder, cco:hasException",,
CQ151,Education,84.1,"The figure can be reduced only where there is evidence of relevant prior learning""",What condition must be met for a provider to reduce planned off-the-job training hours below the published minimum?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",,
CQ152,Education,92-94,"We have re-instated the employer statement section... this must be completed where the actual training hours are less than the planned hours""",Which regulation reinstates the requirement for an employer statement when actual training hours are less than planned?,"cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ153,Education,82.3,"When setting the duration, the provider must consider working hours so that training expectations are realistic""",What obligation applies to providers in setting realistic training expectations for part-time apprentices?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ154,Education,79.1,"Initial assessment and onboarding activities"" must not be included as off-the-job training",Which norm prohibits the inclusion of initial assessment and onboarding activities in off-the-job training?,"cco:Prohibition, cco:hasAction, cco:hasObject",,
CQ155,Education,78,"The provider must ensure that off-the-job training delivers new skills that are directly relevant to the apprenticeship standard""",What obligation requires providers to ensure off-the-job training delivers new skills directly relevant to the apprenticeship standard?,"cco:Obligation, cco:hasAction, cco:hasObject",,
CQ156,Education,89,"the provider is responsible for ensuring that there is a plan for OTJT active learning to take place at least in every calendar month""",Which obligation applies to providers regarding off-the-job training delivery frequency when the delivery model is not front-loaded or block release?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject",,
CQ157,Education,89.1,"A break in learning must be used where there is no plan for OTJT active learning to take place within a calendar month.""",What condition triggers the obligation to use a break in learning for apprentices not on term-time only contracts?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ158,Education,89.1,"the summer holiday period""",Is there an exception to the break in learning requirement for apprentices with term-time only contracts during August?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",,
CQ159,Education,89.2,"a retrospective break in learning is not required as long as there is OTJT active learning in the following calendar month.""",Under what condition is a retrospective break in learning not required after missed training in a calendar month?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",,
CQ160,Education,89.2,"Where there is no OTJT active learning for 2 consecutive calendar months, a retrospective break in learning must be used.""",When must a retrospective break in learning be used due to lack of off-the-job training?,"cco:Condition, cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasConditionExpression",,
CQ161,Education,89.2,"The provider must ensure that all missed activity is re-planned and delivered""",What obligation does the provider have regarding re-planning missed off-the-job training activities?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ162,Education,91,"The provider is responsible for retaining evidence to support both their own delivery and that of others""",Who is responsible for retaining evidence of off-the-job training delivery?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ163,Education,91,"The evidence must be quantifiable and must meet the OTJT definition""",What type of evidence must be retained for off-the-job training?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ164,Education,92,"summarise the following information: original volume, actual volume, reason, confirmation of minimum requirement""",What information must the provider include in a statement if actual off-the-job training hours are less than planned?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ165,Education,93,"The provider must arrange for the employer and apprentice to sign this statement""",Who must sign the statement explaining reduced off-the-job training volume?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ166,Education,94,"completed, signed and made available as part of the evidence pack within 12 weeks of the apprentice completing""",By when must the signed statement on reduced training volume be made available?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ167,Education,Evidence requirements,"Set a planned OTJT hours value which is at least equal to... the OTJT requirement on the standard / Annex C""",What obligation applies to providers regarding the planned volume of off-the-job training hours?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ168,Education,Evidence requirements,"Documented the planned volume of off-the-job training hours on the training plan and the ILR""",Must the training plan document the delivery model used for off-the-job training?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ169,Education,90.1,"Some occupations require the provider to be approved by a regulatory body before being able to deliver training""",Is a provider required to have regulatory approval before delivering certain apprenticeship training?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ170,Education,90.1,"We may take action to recover apprenticeship funding""",What action may be taken if a provider delivers training without necessary regulatory approval?,"cco:Prohibition, cco:appliesToRole, cco:hasAction, cco:hasException",,
CQ171,Education,97,"the provider must undertake a progress review... at least every 3 calendar months""",What obligation applies to providers regarding progress reviews during the practical period?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ172,Education,97.1,"If there is an evidenced delivery reason... that means an alternative frequency is more appropriate""",What condition allows for an alternative frequency of progress reviews?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",,
CQ173,Education,97.2,"a three-way discussion involving the provider, employer and the apprentice""",Who must be involved in a progress review?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ174,Education,95,"The provider is responsible for developing and agreeing a training plan with the apprentice and the employer""",What obligation applies to the provider regarding the content of the training plan?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ175,Education,95.2,"Funding can only be claimed from the date on which learning activity... begins and can be evidenced""",When can funding be claimed for apprenticeship learning?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,
CQ176,Education,96.1,"The name of the apprentice, their job role and normal working hours""",What information must the training plan include about the apprentice?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ177,Education,96.2,"Details of all relevant parties (the provider, employer, any subcontractors and the end-point assessment organisation)""",Must the training plan identify all relevant parties involved in delivery?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ178,Education,96.2.1,"This must be no later than 6 months before the learning planned end date""",When must the end-point assessment organisation be added to the training plan if not known at start?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ179,Education,96.3,"name of the apprenticeship standard, the level, the start and end dates...""",What details about the apprenticeship must the training plan include?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ180,Education,96.4,"The total volume of planned off-the-job training hours""",Must the training plan specify the total volume of planned off-the-job training hours?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ181,Education,96.5,"A brief description of the delivery model (e.g. day release, block release, front-loaded)""",Is a description of the delivery model required in the training plan?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ182,Education,96.6.1,"a list of the units, along with a description of any additional activities""",What must the training plan include for standards with a mandatory qualification?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ183,Education,96.6.2,"a description of the activities that the apprentice will undertake to develop occupational competency""",What must the training plan include for standards without a mandatory qualification?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ184,Education,96.6.3,"It must be clear if the occupational training has been included in the planned off-the-job training hours.""",Must the training plan clarify whether occupational training is included in off-the-job training hours?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ185,Education,96.7,"Details of any English and /or maths standalone qualifications to be delivered""",Must the training plan include details of English and/or maths standalone qualifications?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ186,Education,96.7.1,"It must be clear that English and /or maths standalone qualifications have not been included in the planned off-the-job training hours.""",Must the training plan state that English and maths standalone qualifications are excluded from off-the-job training hours?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ187,Education,96.8,"The training plan must not include any content that has been identified and agreed with the employer, as relevant prior learning""",Must the training plan exclude content identified as prior learning?,"cco:Prohibition, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ188,Education,96.9,"Details of when content will be delivered.""",Must the training plan specify when content will be delivered?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ189,Education,96.1,"Details of who is responsible for each component of delivery.""",Must the training plan assign responsibility for each component of delivery?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ190,Education,96.11,"Written confirmation from the employer that the apprentice will be allowed to undertake off-the-job training within their normal working hours""",Must the employer confirm in writing that the apprentice can undertake off-the-job training during normal working hours?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ191,Education,96.12,"Summary details of progress reviews, including the frequency and format""",What must the training plan include regarding progress reviews?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ192,Education,96.13,"The process for resolving any queries or complaints... escalation route within the main provider’s own organisation""",What complaint resolution process must the training plan include?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ193,Education,98,"The provider must ensure that the progress review: 98.1. Checks progress against any actions agreed at the previous review...""",Which obligation applies to the provider regarding progress reviews and what action must they perform?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ194,Education,97.1,"The progress review must be attended by the provider, the apprentice and the employer...""",What role is required to carry out the progress review as per the regulation?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ195,Education,98.4.1,"We only expect the training plan to be agreed and re-signed by the employer where a) new content is added or removed...""",What condition must be met for a training plan to require re-signing by the employer?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",,
CQ196,Education,97.2.2,"In all cases, whether the employer attends or not, a summary of the discussion must be shared with all parties...""",Is there an obligation for the provider to document the summary of the progress review and who must sign it?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ197,Education,96,"Evidence that progress is being made towards the agreed training plan (see off-the-job training section regarding the nature of this evidence).""",Does the regulation specify a norm requiring evidence of progress towards the agreed training plan?,"cco:Obligation, cco:Regulation, cco:Resource, cco:hasObject, cco:specifiesNorm",,
CQ198,Education,98.3,"Checks overall progress of the apprentice against their agreed training plan...""",What resource is associated with the obligation to check progress against the training plan?,"cco:Obligation, cco:Resource, cco:hasAction, cco:hasObject",,
CQ199,Education,103.2,"Funds from an employer’s apprenticeship service account or government co-investment must not be used to fund other services (not listed above).""",Is there a prohibition on using apprenticeship funds for ineligible costs related to training and on-programme assessment?,"cco:Prohibition, cco:Regulation, cco:hasAction, cco:hasObject, cco:specifiesNorm",,
CQ200,Education,103.1,"Where the provider buys in the delivery of apprenticeship training and /or on-programme assessment from a third party...""",What action is permitted regarding subcontracting the delivery of apprenticeship training?,"cco:Permission, cco:hasAction, cco:hasObject, cco:specifiesNorm",,
CQ201,Education,98.1,"Checks progress against any actions agreed at the previous review, including any training that has been delivered since the last review;""",What is the start date of applicability for the obligation that the provider must check progress against the previous review's actions?,"cco:Obligation, cco:hasAction",,
CQ202,Education,99,"The provider must ensure that funds from an employer’s apprenticeship service account or government-employer co-investment are only used for eligible costs...""",Which regulation specifies the obligation for providers to use funds only for eligible costs up to the funding band maximum?,"cco:Obligation, cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ203,Education,101.2,"Note that this only relates to the specific fees charged by that subcontractor; a provider can still cover the costs of managing the subcontractor...""",What exception exists to the rule that providers cannot make a surplus on subcontracted delivery?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,
CQ204,Education,100.2.7,"Additional learning required to re-sit an exam linked to either a mandatory qualification or an end-point assessment.""",What condition must be satisfied for additional learning to be funded when re-sitting an exam?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,
CQ205,Education,96,"Evidence that the plan was agreed by all parties prior to training being delivered...""",What role does the employer have in agreeing the initial training plan?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ206,Education,98.4,"Provides for an opportunity to update the training plan;""",Is there an obligation for the provider to update the training plan during progress reviews?,"cco:Obligation, cco:hasAction, cco:specifiesNorm",,
CQ207,Education,100.2,"Off-the-job training (that meets the definition in paragraphs 77 to 78): 100.2.1 Relevant tutor costs...""",What resource is involved in the delivery of off-the-job training that includes tutor costs and materials?,"cco:Regulation, cco:Resource, cco:regulates, cco:specifiesNorm",,
CQ208,Education,99.2,"This is included by the provider in field TNP2 (on the ILR), but only when the cost is known; estimate costs must not be entered.""",What action must the provider take regarding end-point assessment costs when they are known?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ209,Education,100.2.5,"For these qualifications we will only fund relevant training, where there is a clear overlap between the qualification content and the knowledge, skills and behaviours needed for the apprenticeship...""",What condition applies to the funding of non-mandatory qualifications?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,
CQ210,Education,101.1,"Additional profit must not be charged on the £500 price of these materials to the employer.""",Is there a prohibition on charging additional profit on externally procured materials?,"cco:Prohibition, cco:hasAction, cco:hasObject, cco:specifiesNorm",,
CQ211,Education,Evidence requirements,"The provider is undertaking and documenting progress reviews... and that the agreed outcome or actions of these reviews are shared with the employer and the apprentice...""",What obligation exists regarding the sharing of progress review outcomes with the employer and apprentice?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",,
CQ212,Education,99,"The provider must ensure that funds from an employer’s apprenticeship service account or government-employer co-investment are only used for eligible costs...""",What is the validity start date of the regulation that governs the use of apprenticeship funding for eligible costs?,"cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ213,Education,105,"The ineligible costs listed above must not be included by the provider in the price that they agree with the employer.""",Which regulation specifies the norm that prohibits including ineligible costs in the negotiated price for apprenticeship training?,"cco:Prohibition, cco:Regulation, cco:Resource, cco:hasAction, cco:hasObject, cco:specifiesNorm",,
CQ214,Education,104.10.1,"Financial inducements, or any other payment not authorised by us, must not be paid to an apprentice, employer, another training provider or to an end-point assessment organisation...""",What action is prohibited regarding financial inducements to apprentices or employers under the apprenticeship funding rules?,"cco:Prohibition, cco:Role, cco:appliesToRole, cco:hasAction",,
CQ215,Education,108,"The provider must provide all 16–24-year-old apprentices... the opportunity to declare their eligibility for the care leavers’ bursary.""",Which role is subject to the obligation to provide apprentices the opportunity to declare eligibility for the care leavers’ bursary?,"cco:Obligation, cco:Role, cco:appliesToRole, cco:hasAction",,
CQ216,Education,104.9.1,"Capital purchases including lease agreements... such as land, buildings, machinery and ICT equipment...""",What resource is associated with the prohibition on including capital purchases in the training cost?,"cco:Prohibition, cco:Regulation, cco:Resource, cco:hasObject, cco:specifiesNorm",,
CQ217,Education,106.1,"Aged between 16 and 18 years old (or 15 years of age if the apprentice’s 16th birthday is between the last Friday of June and 31 August)""","What condition must be met for an apprentice to be eligible for the additional £1,000 payment based on age?","cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,
CQ218,Education,106.2,"Aged between 19 and 24 years old and has either an Education, Health and Care (EHC) plan... or has been, or are, in the care of their local authority...""","What condition applies to the eligibility of a 19–24-year-old apprentice for the additional £1,000 payment?","cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,
CQ219,Education,108.1,"Apprentices are eligible to receive a £3,000 bursary if they are, or have been in the care of a UK local authority...""",When does the regulation specifying the care leavers’ bursary payment become valid?,"cco:Regulation, cco:hasValidityStart, cco:specifiesNorm",,
CQ220,Education,112,"The provider must pass the payments on, in full, to the employer and /or apprentice within 30 working days of receiving the funding from us.""",What obligation does the provider have regarding passing on additional payments to the employer or apprentice?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ221,Education,113,"Where the provider has been unable to pass the additional payment onto the employer... then this payment must be returned to us.""",What action is required of the provider if they cannot pass the additional payment to the employer?,"cco:Obligation, cco:Role, cco:appliesToRole, cco:hasAction",,
CQ222,Education,110.3.1,"Where the apprentice is on a shorter apprenticeship... this payment will be generated 242 days after the apprentice’s learning start date instead.""",What is the applicability start date for the norm that allows a final bursary payment at 242 days for short-duration apprenticeships?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",,
CQ223,Education,110.3.1,"Where the apprentice is on a shorter apprenticeship... this payment will be generated 242 days after the apprentice’s learning start date instead.""",What exception modifies the norm about final bursary payment timing for apprenticeships with typical duration less than 12 months?,"cco:Condition, cco:Exception, cco:hasCondition, cco:hasException, cco:modifiesNorm",,
CQ224,Education,110.3.1,"Where the apprentice is on a shorter apprenticeship... this payment will be generated 242 days after the apprentice’s learning start date instead.""",Which regulation supersedes another regulation concerning the timing of final bursary payments for foundation apprenticeships?,"cco:Regulation, cco:hasValidityStart, cco:supersedes",,
CQ225,Education,107,"Employer-providers can receive both employer and provider payments if the apprentice meets the eligibility criteria.""",What role is entitled to receive both employer and provider payments if the apprentice meets eligibility criteria?,"cco:Permission, cco:Role, cco:appliesToRole",,
CQ226,Education,104.2.11,"Re-sit costs for a mandatory qualification, beyond the first re-sit (which is eligible).""",What condition must be satisfied for re-sit costs of a mandatory qualification to be eligible beyond the first re-sit?,"cco:Condition, cco:Prohibition, cco:appliesUnder, cco:hasConditionExpression",,
CQ227,Education,104.8.1,"All costs related to the end-point assessment... must be included in the price negotiated... and not included in the cost of training (TNP1 field on ILR).""",What resource is excluded from funding when it comes to end-point assessment costs?,"cco:Prohibition, cco:Resource, cco:hasObject, cco:specifiesNorm",,
CQ228,Education,114,"The main provider (in consultation with the employer) must ensure that the apprentice is prepared for and understands the end-point assessment process.""",Which obligation applies to the main provider regarding preparation of the apprentice for end-point assessment?,"cco:Obligation, cco:appliesToRole, cco:hasAction",,
CQ229,Education,115,"At least 6 months before the apprentice reaches gateway, the main provider... must: 115.1. Select an organisation to deliver the end-point assessment; 115.2. Negotiate a price with the EPAO.""",What action is required of the main provider at least six months before the apprentice reaches gateway?,"cco:Obligation, cco:appliesToRole, cco:appliesUnder, cco:hasAction",,
CQ230,Education,115.2.1,"The cost of the end-point assessment should not exceed 20% of the funding band maximum.""",What condition must be satisfied for the cost of end-point assessment not to exceed a certain percentage of the funding band?,"cco:Obligation, cco:appliesUnder",,
CQ231,Education,115.2.2,"If the overall price of the apprenticeship is more than the funding band maximum... then the employer must pay in full the difference.""",Under what condition must the employer pay the difference between the funding band maximum and the negotiated price?,"cco:Obligation, cco:appliesUnder",,
CQ232,Education,117,"The provider must contract with the EPAO and lead the relationship with them, including where the delivery of apprenticeship training is subcontracted.""",Which obligation requires the provider to contract with the end-point assessment organisation?,"cco:Obligation, cco:hasAction",,
CQ233,Education,117.1,"Once a contractual agreement is in place, the provider must record the selected EPAO in the Individualised Learner Record (ILR) for every apprentice.""",What must the provider do after establishing a contractual agreement with the EPAO?,"cco:Obligation, cco:appliesUnder, cco:hasAction",,
CQ234,Education,118.1,"The arrangements for sharing relevant information about the apprentice to ensure end-point assessment and certification can take place.""",What information must be shared between the provider and the EPAO under their written agreement?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ235,Education,118.2,"Arrangements for any re-takes and payments""",What obligation exists regarding re-takes and payments in the agreement between provider and EPAO?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ236,Education,118.3,"Arrangements for a change of circumstances, which may delay, or lead to the cancellation of, the end-point assessment.""",What obligation exists regarding changes of circumstances that may delay or cancel end-point assessment?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",,
CQ237,Education,119,"An apprentice can only take their end-point assessment after: 119.1. They have met the minimum duration... 119.2. Satisfied gateway requirements... 119.3. Employer confirms sufficient skills.""",When is an apprentice allowed to take their end-point assessment?,"cco:Permission, cco:appliesUnder",,
CQ238,Education,120,"The apprentice must be employed until the end-point assessment is completed.""",What obligation applies to the apprentice's employment status during end-point assessment?,"cco:Obligation, cco:appliesUnder",,
CQ239,Education,120.1,"The only exception is where the apprentice has been made redundant and we are funding the apprenticeship to completion.""",Under what condition can an apprentice who has been made redundant still complete the apprenticeship?,"cco:Exception, cco:hasCondition, cco:hasConditionExpression, cco:hasException, cco:modifiesNorm",,
