cq_id,domain,clause,excerpt,question,cco_elements,llm_model,llm_assessment,llm_reason
CQ056,Healthcare,"Article 13, paragraph 4","If WHO... determines that a public health emergency... is occurring, it may offer... further assistance...""",Under what condition may WHO offer further assistance to a State Party during a public health emergency of international concern?,"cco:Permission, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (WHO may offer assistance) with an explicit condition (determining a public health emergency is occurring), which can be represented using cco:Permission, cco:appliesUnder, and cco:hasAction in CCO."
CQ057,Healthcare,"Article 13, paragraph 5","States Parties should provide, to the extent possible, support to WHO-coordinated response activities.""",What action should States Parties take when requested by WHO during a public health emergency?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for States Parties (a role) to perform an action (provide support), which can be represented using cco:Obligation, cco:appliesToRole, and cco:hasAction in CCO."
CQ058,Healthcare,"Article 13, paragraph 6","WHO shall provide appropriate guidance and assistance to other States Parties affected or threatened...""",What assistance must WHO provide to other affected or threatened States Parties during a public health emergency?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation (WHO providing guidance and assistance) with an applicable role (States Parties) and an action (provide), all representable using CCO classes and properties."
CQ059,Healthcare,"Article 13, paragraph 7","WHO shall support States Parties... and coordinate international response activities... after their determination pursuant to Article 12""",When must WHO support and coordinate international response activities during public health emergencies?,"cco:Obligation, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a clear agent, action, and condition, all representable using CCO classes and properties."
CQ060,Healthcare,"Article 13, paragraph 8","the Director-General shall: (a) conduct, and periodically review and update, assessments of the public health needs...""",What actions must the Director-General take to facilitate equitable access to relevant health products during a public health emergency?,"cco:Obligation, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a specified action and role, which can be represented using cco:Obligation, cco:hasAction, and cco:appliesToRole in CCO."
CQ061,Healthcare,"Article 13, paragraph 8(d)","share with a State Party, upon its request, the product dossier... within 30 days of receiving such request""",What role does WHO play in sharing product dossiers with State Parties upon request?,"cco:Obligation, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an action (""share"") and a condition (""upon its request""), which can be represented using CCO classes and properties like Obligation, hasAction, appliesUnder, and Condition."
CQ062,Healthcare,"Article 13, paragraph 9","States Parties shall undertake... to collaborate with, and assist each other and to support WHO-coordinated response activities""",Are States Parties required to assist each other and support WHO-coordinated activities during public health emergencies?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for States Parties (a role) to perform specific actions (collaborate, assist, support), which can be represented using CCO's Obligation, appliesToRole, and hasAction properties."
CQ063,Healthcare,"Article 15, paragraph 1","the Director-General shall issue temporary recommendations in accordance with the procedure set out in Article 49""",What action must the Director-General take if a public health emergency of international concern is determined under Article 12?,"cco:Obligation, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,The clause contains an explicit obligation (issuing recommendations) with a condition (determination of a public health emergency) and can be represented using CCO classes and properties.
CQ064,Healthcare,"Article 15, paragraph 2","Temporary recommendations may include health measures... regarding persons, baggage, cargo, containers, conveyances, goods...""",What types of health measures may be included in temporary recommendations issued by the Director-General?,"cco:Permission, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (temporary recommendations allowing specific health measures) with an action (""include"") and objects (""health measures...""), which can be represented using CCO's Permission, hasAction, and hasObject properties."
CQ065,Healthcare,"Article 15, paragraph 2 bis","when communicating... the issuance, modification or extension of temporary recommendations, should provide available information...""",When should the Director-General provide information about WHO-coordinated mechanisms for access to health products?,"cco:Obligation, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on the Director-General (Agent/Role) to perform an action (provide information) under a specific condition (when communicating about recommendations), which can be represented using CCO classes and properties."
CQ066,Healthcare,"Article 15, paragraph 3","They may be modified or extended for additional periods of up to three months. Temporary recommendations may not continue beyond the second World Health Assembly...""",When do temporary recommendations automatically expire?,cco:Obligation,deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a temporal condition for the expiration of temporary recommendations, which can be represented using CCO's Norm classes, datatype properties for dates, and Condition with hasConditionExpression for the duration limit."
CQ067,Healthcare,"Article 16, paragraph 1","WHO may make standing recommendations of appropriate health measures in accordance with Article 53 for routine or periodic application.""",Can WHO issue standing recommendations for routine application of health measures?,"cco:Permission, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission for WHO (an Agent) to perform an action (issuing standing recommendations) under a condition (routine or periodic application), which can be represented using CCO's Permission, hasAction, and appliesUnder properties with generic class mappings."
CQ068,Healthcare,"Article 16, paragraph 2","should provide available information on any WHO-coordinated mechanism(s) concerning access to, and allocation of, relevant health products...""",What information should the Director-General provide when issuing standing recommendations?,"cco:Obligation, cco:appliesUnder, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation for an agent (Director-General) to perform an action (provide information) regarding a resource (WHO-coordinated mechanism information), which can be represented using CCO classes and properties."
CQ069,Healthcare,Article 17,"the Director-General shall consider: (a) the views of the States Parties directly concerned; (b) the advice of the Emergency Committee...""",What criteria must the Director-General consider when issuing temporary or standing recommendations?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on the Director-General (a role) to consider specific criteria (conditions), which can be represented using CCO's Obligation, appliesUnder, and hasConditionExpression properties with generic class mappings."
CQ070,Healthcare,Article 17,"With respect to temporary recommendations, the consideration by the Director-General of subparagraphs (e) and (f) of this Article may be subject to limitations...""",Are temporary recommendations subject to different considerations under urgent circumstances?,"cco:Obligation, cco:appliesUnder, cco:hasException",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a deontic structure involving an obligation with an exception and condition, which can be represented using the specified CCO elements."
CQ071,Healthcare,Article 19(a),"ensure that the core capacities set forth in Part B of Annex 1 for designated points of entry are developed within the time frame...""",Which obligations apply to State Parties regarding the development of core capacities at designated points of entry?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an action (""ensure...developed""), applies to a role (""State Parties""), and references a resource (""core capacities...Annex 1""), all representable using CCO classes and properties."
CQ072,Healthcare,Article 19(b),"identify the competent authorities at each designated point of entry in its territory""",Which obligations require State Parties to identify competent authorities at each designated point of entry?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The CCO can represent the obligation structure using its classes and properties, including the deontic type, role applicability, and action components."
CQ073,Healthcare,Article 19(c),"furnish to WHO, as far as practicable, when requested in response to a specific potential public health risk, relevant data...""",Under what condition may a State Party be required to furnish data to WHO concerning sources of infection at points of entry?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a clear condition and can be represented using CCO's Obligation, Condition, appliesUnder, and hasConditionExpression properties."
CQ074,Healthcare,Article 20.1,"States Parties shall designate the airports and ports that shall develop the core capacities provided in Part B of Annex 1""",What obligation do States Parties have regarding the designation of airports and ports for core capacity development?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text contains an explicit obligation with an action (designate airports and ports) and applies to a role (States Parties), which can be represented using the provided CCO classes and properties."
CQ075,Healthcare,Article 20.2,"States Parties shall ensure that Ship Sanitation Control Exemption Certificates and Ship Sanitation Control Certificates are issued...""",What obligation do States Parties have regarding the issuance of Ship Sanitation Control Certificates?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an agent (States Parties), an action (issuing certificates), and can be represented using the provided CCO classes and properties."
CQ076,Healthcare,Article 20.3(a),"Each State Party shall send to WHO a list of ports authorized to offer: (a) the issuance of Ship Sanitation Control Certificates...""",What must each State Party send to WHO regarding ports authorized to issue Ship Sanitation Control Certificates?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a clear agent, action, object, and role applicability, all representable using CCO classes and properties."
CQ077,Healthcare,Article 20.3,"Each State Party shall inform WHO of any changes which may occur to the status of the listed ports""",What must each State Party report to WHO regarding changes in the status of listed ports?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an agent (State Party as Role), an action (inform WHO), and a resource (changes to listed ports), all representable using CCO classes and properties."
CQ078,Healthcare,Article 20.4,"WHO may, at the request of the State Party concerned, arrange to certify... that an airport or port meets the requirements...""",Under what conditions may WHO certify an airport or port after investigation?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (WHO may arrange to certify) with an explicit condition (at the request of the State Party concerned), which can be represented using CCO's Permission, Condition, appliesUnder, and hasConditionExpression properties."
CQ079,Healthcare,Article 20.5,"WHO shall develop and publish the certification guidelines for airports and ports under this Article""",What role does WHO have in developing certification guidelines for airports and ports?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an agent, action, and resource, all mappable to CCO classes and properties."
CQ080,Healthcare,Article 21.1,"Where justified for public health reasons, a State Party may designate ground crossings that shall develop the core capacities...""",Under what public health justification may a State Party designate ground crossings for core capacity development?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (State Party may designate) with an explicit condition (justified for public health reasons), which can be represented using CCO's Permission, Condition, appliesUnder, and hasConditionExpression properties along with applicable roles and actions."
CQ081,Healthcare,Article 21.1(a)-(b),"taking into consideration: (a) the volume and frequency of the various types of international traffic... (b) the public health risks...""",What factors should be considered when designating ground crossings for core capacity development?,"cco:Condition, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause describes conditions that must be considered, which can be represented using cco:Condition and cco:appliesUnder with the specific factors captured in cco:hasConditionExpression."
CQ082,Healthcare,Article 22.1(a),"be responsible for monitoring baggage, cargo, containers, conveyances, goods, postal parcels and human remains departing and arriving...""","What obligations do competent authorities have regarding monitoring of baggage, cargo, and conveyances from affected areas?","cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a specified role (competent authorities), action (monitoring), and objects (baggage, cargo, etc.), all representable using CCO classes and properties."
CQ083,Healthcare,Article 22.1(b),"ensure, as far as practicable, that facilities used by travellers at points of entry are maintained in a sanitary condition...""",What obligation do competent authorities have to maintain sanitary conditions at traveller facilities?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an applicable role, action, and condition, all representable using CCO's generic classes and properties."
CQ084,Healthcare,Article 22.1(c),"be responsible for the supervision of any deratting, disinfection, disinsection or decontamination of baggage, cargo, containers...""","What supervision responsibilities do competent authorities have regarding deratting, disinfection, and decontamination?","cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for a specific role (competent authorities) to perform an action (supervision) on resources (baggage, cargo, containers), which can be fully represented using the provided CCO classes and properties."
CQ085,Healthcare,Article 22.1(d),"advise conveyance operators, as far in advance as possible, of their intent to apply control measures to a conveyance...""",When must competent authorities advise conveyance operators about intended control measures?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesToRole, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an obligation with a specific action (""advise"") and a condition (""as far in advance as possible""), which can be represented using the provided CCO classes and properties."
CQ086,Healthcare,Article 22.1(e),"be responsible for the supervision of the removal and safe disposal of any contaminated water or food, human or animal dejecta...""",What responsibilities do competent authorities have regarding disposal of contaminated matter from conveyances?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an action (""supervision of the removal and safe disposal""), applies to a role (""competent authorities""), and involves a resource (""contaminated water or food, human or animal dejecta""), all representable using CCO classes and properties."
CQ087,Healthcare,Article 22.1(f),"take all practicable measures... to monitor and control the discharge by ships of sewage, refuse, ballast water and other potentially disease-causing matter""",What measures must competent authorities take to monitor and control ship discharges?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an action (""take all practicable measures to monitor and control""), applies to a role (""competent authorities""), and specifies objects (""discharge by ships of sewage, refuse, ballast water and other potentially disease-causing matter""), all representable using CCO classes and properties."
CQ088,Healthcare,Article 22.1(g),"be responsible for supervision of service providers for services concerning travellers, baggage, cargo, containers, conveyances...""",What supervision responsibilities do competent authorities have over service providers at points of entry?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on competent authorities (a role) to supervise service providers (agents) regarding specific resources, which can be represented using the provided CCO elements."
CQ089,Healthcare,Article 22.1(h),"have effective contingency arrangements to deal with an unexpected public health event""",What contingency arrangements must competent authorities have in place?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for competent authorities to have contingency arrangements, which can be represented using CCO classes and properties as specified."
CQ090,Healthcare,Article 22.1(i),"communicate with the National IHR Focal Point on the relevant public health measures taken pursuant to these Regulations""",How must competent authorities communicate public health measures taken under the Regulations?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a clear obligation (""must communicate"") directed at a role (""competent authorities""), involving an action (""communicate"") and a specific resource (""public health measures""), which can be fully represented using the CCO's classes and properties for obligations, roles, actions, and resources."
CQ091,Healthcare,Article 22.2,"Health measures recommended by WHO... may be reapplied on arrival, if there are verifiable indications... that the measures applied on departure were unsuccessful""",Under what condition may WHO-recommended health measures be reapplied on arrival?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition that can be represented using CCO's Permission, Condition, and appliesUnder properties, along with hasConditionExpression for the textual trigger."
CQ092,Healthcare,Article 22.3,"shall be carried out so as to avoid injury and as far as possible discomfort to persons, or damage to the environment... or damage to baggage, cargo...""",How must sanitary procedures be carried out to avoid harm?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation with a condition on how an action must be performed, which can be represented using CCO's Obligation, Condition, appliesUnder, and hasConditionExpression properties."
CQ093,Healthcare,Article 23.1(a)(i)-(iii),"information concerning the traveller's destination... itinerary... review of the traveller's health documents... non-invasive medical examination""",What information may a State Party require from travellers on arrival or departure?,"cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text describes a permission for a State Party (Agent/Role) to require specific information (Resource) from travellers, which can be represented using CCO classes and properties including Permission, appliesToRole, hasAction, and hasObject."
CQ094,Healthcare,Article 23.1(b),"inspection of baggage, cargo, containers, conveyances, goods, postal parcels and human remains""","What inspection powers do States Parties have regarding baggage, cargo, and conveyances?","cco:Obligation, cco:Regulation, cco:Resource, cco:appliesToRole, cco:hasAction, cco:hasObject, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text describes an obligation for States Parties (a role) to perform an inspection action on specified resources, which can be fully represented using the provided CCO classes and properties."
CQ095,Healthcare,Article 23.2,"On the basis of evidence of a public health risk... States Parties may apply additional health measures... on a case-by-case basis""",Under what evidence may States Parties apply additional health measures to suspect or affected travellers?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (States Parties may apply additional health measures) with an explicit condition (evidence of a public health risk), which can be represented using CCO's Permission, Condition, appliesUnder, and hasConditionExpression properties."
CQ096,Healthcare,Article 23.3,"No medical examination... shall be carried out on travellers without their prior express informed consent... except as provided in paragraph 2 of Article 31""",When may medical examinations be conducted without prior informed consent?,"cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The excerpt contains a prohibition with an explicit exception condition that can be represented using CCO's Prohibition, Exception, and Condition classes with the specified properties."
CQ097,Healthcare,Article 23.4,"Travellers to be vaccinated... shall be informed of any risk associated with vaccination or with non-vaccination...""",What information must be provided to travellers or guardians regarding vaccination risks?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes an obligation for agents (travellers or guardians) to be informed about vaccination risks, which can be represented using CCO's Obligation class with hasAction and appliesToRole properties."
CQ098,Healthcare,Article 23.5,"only be performed... in accordance with established national or international safety guidelines and standards so as to minimize such a risk""",Under what standards must medical procedures involving disease transmission risk be performed?,"cco:Condition, cco:Obligation, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation to perform medical procedures under specific conditions (following safety guidelines and standards), which can be represented using CCO's Obligation, Condition, appliesUnder, and hasConditionExpression properties."
CQ099,Healthcare,Article 24.1(a),"States Parties shall take all practicable measures... to ensure that conveyance operators comply with the health measures recommended by WHO...""",What obligations do States Parties have to ensure conveyance operators comply with WHO-recommended health measures?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an agent (States Parties), an action (take measures), and a target (conveyance operators), all representable using CCO classes and properties."
CQ100,Healthcare,Article 24.1(b),"inform travellers of the health measures recommended by WHO and adopted by the State Party, including for application on board...""",What obligation do States Parties have to inform travellers about health measures on conveyances?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation for States Parties (a role) to perform the action of informing travellers, which can be represented using CCO's classes and properties."
CQ101,Healthcare,Article 24.1(c),"permanently keep conveyances for which they are responsible free of sources of infection or contamination, including vectors and reservoirs""",What obligation do conveyance operators have regarding maintaining conveyances free of infection sources?,"cco:Obligation, cco:Regulation, cco:appliesToRole, cco:hasAction, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with an action (""permanently keep free of sources of infection or contamination"") that can be mapped to CCO classes and properties, including appliesToRole for conveyance operators and hasAction for the required activity."
CQ102,Healthcare,Article 25(a),"no health measure shall be applied by a State Party to: (a) a ship not coming from an affected area which passes through a maritime canal...""",Under what conditions shall no health measure be applied to ships not coming from affected areas transiting maritime canals?,"cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a prohibition with a specific condition, which can be represented using CCO's Prohibition class, appliesUnder property, and Condition class with hasConditionExpression for the transit scenario."
CQ103,Healthcare,Article 25(b),"a ship which passes through waters within its jurisdiction without calling at a port or on the coast""",Under what conditions shall no health measure be applied to ships passing through waters without calling at port?,"cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text describes a condition under which a prohibition applies, which can be represented using CCO's Condition, Prohibition, and appliesUnder properties with the condition expression capturing the specific scenario."
CQ104,Healthcare,Article 25(c),"an aircraft in transit at an airport within its jurisdiction, except that the aircraft may be restricted to a particular area... with no embarking and disembarking""",Under what conditions may an aircraft in transit be restricted at an airport?,"cco:Condition, cco:Permission, cco:Regulation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition and exception structure that can be represented using CCO classes and properties, including Permission, Condition, and appliesUnder."
CQ105,Healthcare,Article 26,"no health measure shall be applied to a civilian lorry, train or coach not coming from an affected area which passes through a territory without embarking...""","Under what conditions shall no health measure be applied to civilian lorries, trains, or coaches in transit?","cco:Condition, cco:Prohibition, cco:Regulation, cco:appliesUnder, cco:hasConditionExpression, cco:specifiesNorm",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text contains a prohibition with an explicit condition that can be represented using CCO's Prohibition, Condition, and appliesUnder properties."
CQ106,Healthcare,Article 27.1,"are found on board a conveyance, the competent authority shall consider the conveyance as affected and may: (a) disinfect, decontaminate, disinsect or derat the conveyance...""",Which obligation applies to a conveyance found with evidence of infection or contamination under the International Health Regulations?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation (""shall consider"") with a condition (""found on board a conveyance"") and an action (""disinfect, decontaminate...""), all representable using CCO classes and properties."
CQ107,Healthcare,Article 27.1(b),"decide in each case the technique employed to secure an adequate level of control of the public health risk""",What action may the competent authority take to control public health risk on an affected conveyance?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause can be represented using CCO as a Permission with an Action (""decide...technique""), applies under a Condition (""in each case""), and has an Object (""control of the public health risk""), aligning with the provided CCO elements."
CQ108,Healthcare,Article 27.2,"the affected conveyance may nevertheless be allowed to depart, subject to the following conditions: (a) the competent authority shall... inform the competent authority for the next known point of entry""",Under what condition may a conveyance be allowed to depart even if the competent authority cannot carry out required control measures?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition, which can be represented using CCO's Permission class, appliesUnder property, and Condition class with hasConditionExpression for the condition details."
CQ109,Healthcare,Article 27.2(b),"in the case of a ship, the evidence found and the control measures required shall be noted in the Ship Sanitation Control Certificate""",What information must be recorded in the Ship Sanitation Control Certificate when control measures are required on a ship?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause imposes an obligation on an agent (likely a role) to perform the action of recording information in a specific resource (the Ship Sanitation Control Certificate), which can be fully represented using CCO classes and properties."
CQ110,Healthcare,Article 27.2 (last sentence),"Any such conveyance shall be permitted to take on, under the supervision of the competent authority, fuel, water, food and supplies.""",What resources may a conveyance take on under supervision when departing under exceptional conditions?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition (exceptional circumstances) and specifies the action (take on) and object (fuel, water, food, supplies), all representable using CCO classes and properties."
CQ111,Healthcare,Article 27.3,"A conveyance that has been considered as affected shall cease to be regarded as such when the competent authority is satisfied that: (a) the measures... have been effectively carried out""",When does an affected conveyance cease to be regarded as affected?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause establishes a condition under which a norm (likely a prohibition or obligation) ceases to apply, which can be represented using CCO's Condition class linked via appliesUnder to a Norm and expressed with hasConditionExpression."
CQ112,Healthcare,Article 28.1,"the ship or aircraft may be ordered to proceed at its own risk to the nearest suitable point of entry available to it""",What obligation applies to ships or aircraft arriving at a point of entry that is not equipped for health measures?,"cco:Condition, cco:Obligation, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text can be represented using CCO by mapping ""ship or aircraft"" to Resource, ""ordered to proceed"" as an Obligation with an Action, and the arrival condition via appliesUnder and hasConditionExpression."
CQ113,Healthcare,Article 28.2,"if a source of infection or contamination is found on board, the carrying out of necessary disinfection, decontamination, disinsection or deratting...""",Under what condition may a State Party refuse free pratique to a ship or aircraft?,"cco:Condition, cco:Norm, cco:appliesUnder, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a condition (""if a source of infection or contamination is found on board"") that can be represented using cco:Condition and cco:appliesUnder, and the deontic permission implied by ""may"" can be captured with cco:Permission as a subclass of Norm."
CQ114,Healthcare,Article 28.3,"a State Party shall authorize the granting of free pratique by radio or other communication means... when... the arrival will not result in the introduction or spread of disease""",What permission is granted regarding remote granting of free pratique?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission with an explicit condition and action, which can be represented using CCO's Permission, Condition, appliesUnder, hasAction, and hasConditionExpression properties."
CQ115,Healthcare,Article 28.4,"shall make known to the port or airport control... any cases of illness indicative of a disease of an infectious nature or evidence of a public health risk on board""",What obligation applies to officers in command of ships or pilots in command of aircraft regarding public health risks on board?,"cco:Obligation, cco:appliesToRole, cco:hasAction, cco:hasObject",deepseek-ai/DeepSeek-V3.1,Yes,"The regulatory text specifies an obligation with an action (""shall make known"") and applies to a role (""officers in command of ships or pilots in command of aircraft""), which can be represented using CCO classes and properties."
CQ116,Healthcare,Article 28.5(a),"shall make every effort to communicate without delay with the nearest competent authority""",What action must the pilot or officer in command take if a suspect aircraft or ship lands elsewhere than intended?,"cco:Obligation, cco:appliesToRole, cco:hasAction",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains an explicit obligation with a specified role, action, and condition, all representable using CCO classes and properties."
CQ117,Healthcare,Article 28.5(b),"it may apply health measures recommended by WHO or other health measures provided in these Regulations""",What health measures may the competent authority apply after being informed of an unscheduled landing of a suspect conveyance?,"cco:Condition, cco:Permission, cco:appliesUnder, cco:hasAction, cco:hasConditionExpression",deepseek-ai/DeepSeek-V3.1,Yes,"The clause contains a permission (may apply) with an explicit condition (after being informed of an unscheduled landing) and an action (apply health measures), which can be represented using CCO classes and properties."
